Survived,Pclass,Name,Sex,Age,SibSp,Fare,Embarked
0,3,"Asim, Mr. Adola",male,35,0,7.05,Southampton
0,3,"O'Brien, Mr. Thomas",male,34,1,15.5,Queenstown
0,3,"Adahl, Mr. Mauritz Nils Martin",male,30,0,7.25,Southampton
1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,75.25,Cherbourg
1,3,"Moussa, Mrs. (Mantoura Boulos)",female,25,0,7.2292,Cherbourg
1,3,"Jermyn, Miss. Annie",female,68,0,7.75,Queenstown
1,1,"Aubart, Mme. Leontine Pauline",female,24,0,69.3,Cherbourg
1,1,"Harder, Mr. George Achilles",male,25,1,55.4417,Cherbourg
0,3,"Wiklund, Mr. Jakob Alfred",male,18,1,6.4958,Southampton
0,3,"Beavan, Mr. William Thomas",male,19,0,8.05,Southampton
0,1,"Ringhini, Mr. Sante",male,22,0,135.6333,Cherbourg
0,3,"Palsson, Miss. Stina Viola",female,3,3,21.075,Southampton
1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,53,1,82.1708,Cherbourg
1,3,"Landergren, Miss. Aurora Adelia",female,22,0,7.25,Southampton
0,1,"Widener, Mr. Harry Elkins",male,27,0,211.5,Cherbourg
0,3,"Betros, Mr. Tannous",male,20,0,4.0125,Cherbourg
0,3,"Gustafsson, Mr. Karl Gideon",male,19,0,7.775,Southampton
1,1,"Bidois, Miss. Rosalie",female,42,0,227.525,Cherbourg
1,3,"Nakid, Miss. Maria (""Mary"")",female,1,0,15.7417,Cherbourg
0,3,"Tikkanen, Mr. Juho",male,32,0,7.925,Southampton
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,52,Southampton
0,3,"Plotcharsky, Mr. Vasil",male,52,0,7.8958,Southampton
0,2,"Davies, Mr. Charles Henry",male,18,0,73.5,Southampton
0,3,"Goodwin, Master. Sidney Leonard",male,1,5,46.9,Southampton
1,2,"Buss, Miss. Kate",female,36,0,13,Southampton
0,3,"Sadlier, Mr. Matthew",male,13,0,7.7292,Queenstown
1,2,"Lehmann, Miss. Bertha",female,17,0,12,Cherbourg
1,1,"Carter, Mr. William Ernest",male,36,1,120,Southampton
1,3,"Jansson, Mr. Carl Olof",male,21,0,7.7958,Southampton
0,3,"Gustafsson, Mr. Johan Birger",male,28,2,7.925,Southampton
1,1,"Newell, Miss. Marjorie",female,23,1,113.275,Cherbourg
1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,16.7,Southampton
0,3,"Johansson, Mr. Erik",male,22,0,7.7958,Southampton
0,3,"Olsson, Miss. Elina",female,31,0,7.8542,Southampton
0,2,"McKane, Mr. Peter David",male,46,0,26,Southampton
0,2,"Pain, Dr. Alfred",male,23,0,10.5,Southampton
1,2,"Trout, Mrs. William H (Jessie L)",female,28,0,12.65,Southampton
1,3,"Niskanen, Mr. Juha",male,39,0,7.925,Southampton
0,3,"Adams, Mr. John",male,26,0,8.05,Southampton
0,3,"Jussila, Miss. Mari Aina",female,21,1,9.825,Southampton
0,3,"Hakkarainen, Mr. Pekka Pietari",male,28,1,15.85,Southampton
0,3,"Oreškovic, Miss. Marija",female,20,0,8.6625,Southampton
0,2,"Gale, Mr. Shadrach",male,34,1,21,Southampton
0,3,"Widegren, Mr. Carl/Charles Peter",male,51,0,7.75,Southampton
1,2,"Richards, Master. William Rowe",male,3,1,18.75,Southampton
0,3,"Birkeland, Mr. Hans Martin Monsen",male,21,0,7.775,Southampton
0,3,"Lefebre, Miss. Ida",female,44,3,25.4667,Southampton
0,3,"Sdycoff, Mr. Todor",male,23,0,7.8958,Southampton
0,3,"Hart, Mr. Henry",male,54,0,6.8583,Queenstown
1,1,"Minahan, Miss. Daisy E",female,33,1,90,Queenstown
0,2,"Cunningham, Mr. Alfred Fleming",male,28,0,0,Southampton
1,3,"Sundman, Mr. Johan Julian",male,44,0,7.925,Southampton
0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,33,0,8.05,Southampton
1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,31,1,32.5,Southampton
1,2,"Silven, Miss. Lyyli Karoliina",female,70,0,13,Southampton
0,2,"Matthews, Mr. William John",male,16,0,13,Southampton
0,3,"Van Impe, Miss. Catharina",female,30,0,24.15,Southampton
0,3,"Gheorgheff, Mr. Stanio",male,19,0,7.8958,Cherbourg
0,3,"Charters, Mr. David",male,31,0,7.7333,Queenstown
0,3,"Zimmerman, Mr. Leo",male,4,0,7.875,Southampton
0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,6,1,14.4,Southampton
0,3,"Rosblom, Mr. Viktor Richard",male,33,1,20.2125,Southampton
0,3,"Wiseman, Mr. Phillippe",male,23,0,7.25,Southampton
1,2,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,48,1,26,Southampton
1,2,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,12,0,26,Southampton
0,3,"Flynn, Mr. James",male,28,0,7.75,Queenstown
1,3,"Pickard, Mr. Berk (Berk Trembisky)",male,18,0,8.05,Southampton
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,34,0,26.55,Southampton
1,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,33,1,16.1,Southampton
1,2,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42,1,26,Southampton
0,3,"Kallio, Mr. Nikolai Erland",male,17,0,7.125,Southampton
0,1,"Silvey, Mr. William Baird",male,50,1,55.9,Southampton
1,1,"Carter, Miss. Lucile Polk",female,14,1,120,Southampton
0,3,"Ford, Miss. Doolina Margaret ""Daisy""",female,21,2,34.375,Southampton
1,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24,2,18.75,Southampton
0,1,"Fortune, Mr. Mark",male,64,1,263,Southampton
0,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31,0,10.5,Southampton
1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,26.25,Southampton
0,3,"Hampe, Mr. Leon",male,20,0,9.5,Southampton
0,3,"Petterson, Mr. Johan Emil",male,25,1,7.775,Southampton
1,2,"Reynaldo, Ms. Encarnacion",female,28,0,13,Southampton
1,3,"Johannesen-Bratthammer, Mr. Bernt",male,76,0,8.1125,Southampton
1,1,"Dodge, Master. Washington",male,4,0,81.8583,Southampton
1,2,"Mellinger, Miss. Madeleine Violet",female,13,0,19.5,Southampton
1,1,"Seward, Mr. Frederic Kimber",male,34,0,26.55,Southampton
1,3,"Baclini, Miss. Marie Catherine",female,5,2,19.2583,Cherbourg
1,1,"Peuchen, Major. Arthur Godfrey",male,52,0,30.5,Southampton
0,2,"West, Mr. Edwy Arthur",male,36,1,27.75,Southampton
0,3,"Hagland, Mr. Ingvald Olai Olsen",male,12,1,19.9667,Southampton
0,1,"Foreman, Mr. Benjamin Laventall",male,30,0,27.75,Cherbourg
1,1,"Goldenberg, Mr. Samuel L",male,49,1,89.1042,Cherbourg
0,3,"Peduzzi, Mr. Joseph",male,34,0,8.05,Southampton
1,3,"Jalsevac, Mr. Ivan",male,29,0,7.8958,Cherbourg
0,1,"Millet, Mr. Francis Davis",male,65,0,26.55,Southampton
1,1,"Kenyon, Mrs. Frederick R (Marion)",female,54,1,51.8625,Southampton
1,2,"Toomey, Miss. Ellen",female,50,0,10.5,Southampton
0,3,"O'Connor, Mr. Maurice",male,33,0,7.75,Queenstown
1,1,"Anderson, Mr. Harry",male,56,0,26.55,Southampton
0,3,"Morley, Mr. William",male,34,0,8.05,Southampton
0,1,"Gee, Mr. Arthur H",male,47,0,38.5,Southampton
0,2,"Milling, Mr. Jacob Christian",male,48,0,13,Southampton
0,3,"Maisner, Mr. Simon",male,26,0,8.05,Southampton
0,3,"Goncalves, Mr. Manuel Estanslas",male,38,0,7.05,Southampton
0,2,"Campbell, Mr. William",male,22,0,0,Southampton
0,1,"Smart, Mr. John Montgomery",male,56,0,26.55,Southampton
0,3,"Scanlan, Mr. James",male,19,0,7.725,Queenstown
1,3,"Baclini, Miss. Helene Barbara",female,1,2,19.2583,Cherbourg
0,3,"Keefe, Mr. Arthur",male,25,0,7.25,Southampton
0,3,"Cacic, Mr. Luka",male,38,0,8.6625,Southampton
1,2,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33,1,27.75,Southampton
1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23,0,13.7917,Cherbourg
0,3,"Strandberg, Miss. Ida Sofia",female,22,0,9.8375,Southampton
0,1,"Clifford, Mr. George Quincy",male,27,0,52,Southampton
0,2,"Renouf, Mr. Peter Henry",male,34,1,21,Southampton
0,3,"Braund, Mr. Lewis Richard",male,29,1,7.0458,Southampton
0,3,"Karlsson, Mr. Nils August",male,22,0,7.5208,Southampton
1,3,"Hirvonen, Miss. Hildur E",female,2,0,12.2875,Southampton
0,3,"Goodwin, Master. Harold Victor",male,9,5,46.9,Southampton
0,2,"Frost, Mr. Anthony Wood ""Archie""",male,11,0,0,Southampton
0,3,"Rouse, Mr. Richard Henry",male,50,0,8.05,Southampton
1,3,"Turkula, Mrs. (Hedwig)",female,63,0,9.5875,Southampton
1,1,"Bishop, Mr. Dickinson H",male,18,1,91.0792,Cherbourg
0,3,"Lefebre, Miss. Jeannie",female,69,3,25.4667,Southampton
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35,1,90,Southampton
0,1,"Kent, Mr. Edward Austin",male,58,0,29.7,Cherbourg
0,3,"Somerton, Mr. Francis William",male,30,0,8.05,Southampton
1,3,"Coutts, Master. Eden Leslie ""Neville""",male,9,1,15.9,Southampton
0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,44,1,19.9667,Southampton
0,3,"Windelov, Mr. Einar",male,21,0,7.25,Southampton
0,1,"Molson, Mr. Harry Markland",male,55,0,30.5,Southampton
0,1,"Artagaveytia, Mr. Ramon",male,71,0,49.5042,Cherbourg
0,3,"Stanley, Mr. Edward Roland",male,21,0,8.05,Southampton
0,3,"Yousseff, Mr. Gerious",male,57,0,14.4583,Cherbourg
1,1,"Eustis, Miss. Elizabeth Mussey",female,54,1,78.2667,Cherbourg
0,3,"Shellard, Mr. Frederick William",male,34,0,15.1,Southampton
0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25,1,151.55,Southampton
0,3,"Svensson, Mr. Olof",male,24,0,7.7958,Southampton
0,3,"Calic, Mr. Petar",male,17,0,8.6625,Southampton
0,3,"Canavan, Miss. Mary",female,21,0,7.75,Queenstown
0,3,"O'Sullivan, Miss. Bridget Mary",female,62,0,7.6292,Queenstown
0,3,"Laitinen, Miss. Kristina Sofia",female,43,0,9.5875,Southampton
1,1,"Maioni, Miss. Roberta",female,16,0,86.5,Southampton
0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18,1,108.9,Cherbourg
1,2,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33,0,26,Southampton
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,11,0,26.55,Southampton
0,3,"Olsen, Mr. Henry Margido",male,28,0,22.525,Southampton
1,3,"Lang, Mr. Fang",male,26,0,56.4958,Southampton
1,3,"Daly, Mr. Eugene Patrick",male,29,0,7.75,Queenstown
0,3,"Webber, Mr. James",male,23,0,8.05,Southampton
1,1,"McGough, Mr. James Robert",male,36,0,26.2875,Southampton
1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54,1,59.4,Cherbourg
0,3,"Coleff, Mr. Satio",male,24,0,7.4958,Southampton
0,1,"Walker, Mr. William Anderson",male,47,0,34.0208,Southampton
1,2,"Lemore, Mrs. (Amelia Milley)",female,34,0,10.5,Southampton
0,3,"Ryan, Mr. Patrick",male,24,0,24.15,Queenstown
1,2,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36,1,26,Southampton
0,3,"Pavlovic, Mr. Stefo",male,32,0,7.8958,Southampton
1,1,"Perreault, Miss. Anne",female,30,0,93.5,Southampton
0,3,"Vovk, Mr. Janko",male,22,0,7.8958,Southampton
0,3,"Lahoud, Mr. Sarkis",male,25,0,7.225,Cherbourg
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,57.9792,Cherbourg
0,3,"Kassem, Mr. Fared",male,26,0,7.2292,Cherbourg
0,3,"Farrell, Mr. James",male,40.5,0,7.75,Queenstown
1,2,"Ridsdale, Miss. Lucy",female,50,0,10.5,Southampton
0,1,"Farthing, Mr. John",male,28,0,221.7792,Southampton
0,3,"Salonen, Mr. Johan Werner",male,39,0,7.925,Southampton
0,2,"Hocking, Mr. Richard George",male,23,2,11.5,Southampton
1,2,"Quick, Miss. Phyllis May",female,2,1,26,Southampton
0,3,"Toufik, Mr. Nakli",male,37,0,7.2292,Cherbourg
0,3,"Elias, Mr. Joseph Jr",male,17,1,7.2292,Cherbourg
1,3,"Peter, Mrs. Catherine (Catherine Rizk)",female,35,0,22.3583,Cherbourg
0,3,"Cacic, Miss. Marija",female,30,0,8.6625,Southampton
1,2,"Hart, Miss. Eva Miriam",female,7,0,26.25,Southampton
0,1,"Butt, Major. Archibald Willingham",male,45,0,26.55,Southampton
1,1,"LeRoy, Miss. Bertha",female,30,0,106.425,Cherbourg
0,3,"Risien, Mr. Samuel Beard",male,34,0,14.5,Southampton
1,1,"Frolicher, Miss. Hedwig Margaritha",female,22,0,49.5,Cherbourg
1,1,"Crosby, Miss. Harriet R",female,36,0,71,Southampton
0,3,"Andersson, Miss. Ingeborg Constanzia",female,9,4,31.275,Southampton
0,3,"Andersson, Miss. Sigrid Elisabeth",female,11,4,31.275,Southampton
1,2,"Beane, Mr. Edward",male,32,1,26,Southampton
0,1,"Douglas, Mr. Walter Donald",male,50,1,106.425,Cherbourg
0,1,"Nicholson, Mr. Arthur Ernest",male,64,0,26,Southampton
1,2,"Beane, Mrs. Edward (Ethel Clarke)",female,19,1,26,Southampton
1,2,"Padro y Manent, Mr. Julian",male,43,0,13.8625,Cherbourg
0,3,"Goldsmith, Mr. Frank John",male,33,1,20.525,Southampton
1,2,"Davies, Master. John Morgan Jr",male,8,1,36.75,Southampton
1,1,"Thayer, Mr. John Borland Jr",male,17,0,110.8833,Cherbourg
0,2,"Sharp, Mr. Percival James R",male,27,0,26,Southampton
0,3,"O'Brien, Mr. Timothy",male,42,0,7.8292,Queenstown
1,3,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22,0,7.225,Cherbourg
1,3,"Ohman, Miss. Velin",female,22,0,7.775,Southampton
0,1,"Wright, Mr. George",male,62,0,26.55,Southampton
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48,1,39.6,Cherbourg
0,1,"Robbins, Mr. Victor",male,41,0,227.525,Cherbourg
1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39,1,79.65,Southampton
1,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36,1,17.4,Southampton
0,3,"Morrow, Mr. Thomas Rowan",male,45,0,7.75,Queenstown
0,3,"Sivic, Mr. Husein",male,40,0,7.8958,Southampton
0,2,"Norman, Mr. Robert Douglas",male,28,0,13.5,Southampton
0,3,"Simmons, Mr. John",male,46,0,8.05,Southampton
0,3,"Meanwell, Miss. (Marion Ogden)",female,47,0,8.05,Southampton
0,3,"Davies, Mr. Alfred J",male,24,2,24.15,Southampton
0,3,"Stoytcheff, Mr. Ilia",male,19,0,7.8958,Southampton
0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,21.075,Southampton
0,3,"Doharr, Mr. Tannous",male,48,0,7.2292,Cherbourg
1,3,"Jonsson, Mr. Carl",male,32,0,7.8542,Southampton
1,2,"Harris, Mr. George",male,62,0,10.5,Southampton
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53,2,51.4792,Southampton
1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36,0,26.3875,Southampton
1,3,"Kelly, Miss. Mary",female,12,0,7.75,Queenstown
0,3,"Rush, Mr. Alfred George John",male,16,0,8.05,Southampton
0,3,"Patchett, Mr. George",male,19,0,14.5,Southampton
1,2,"Garside, Miss. Ethel",female,34,0,13,Southampton
1,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39,1,55.9,Southampton
0,3,"Caram, Mrs. Joseph (Maria Elias)",female,44,1,14.4583,Cherbourg
1,3,"Jussila, Mr. Eiriik",male,32,0,7.925,Southampton
1,2,"Christy, Miss. Julie Rachel",female,25,1,30,Southampton
1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39,1,110.8833,Cherbourg
0,2,"Downton, Mr. William James",male,54,0,26,Southampton
0,1,"Ross, Mr. John Hugo",male,36,0,40.125,Cherbourg
0,3,"Paulner, Mr. Uscher",male,26,0,8.7125,Cherbourg
1,1,"Taussig, Miss. Ruth",female,18,0,79.65,Southampton
0,2,"Jarvis, Mr. John Denzil",male,47,0,15,Southampton
1,1,"Frolicher-Stehli, Mr. Maxmillian",male,60,1,79.2,Cherbourg
0,3,"Gilinski, Mr. Eliezer",male,22,0,8.05,Southampton
0,3,"Murdlin, Mr. Joseph",male,23,0,8.05,Southampton
0,3,"Rintamaki, Mr. Matti",male,45,0,7.125,Southampton
1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,31,1,78.2667,Cherbourg
0,3,"Elsbury, Mr. William James",male,27,0,7.25,Southampton
0,3,"Bourke, Miss. Mary",female,42,0,7.75,Queenstown
0,2,"Chapman, Mr. John Henry",male,32,1,26,Southampton
0,3,"Van Impe, Mr. Jean Baptiste",male,30,1,24.15,Southampton
1,2,"Leitch, Miss. Jessie Wills",female,16,0,33,Southampton
0,3,"Johnson, Mr. Alfred",male,27,0,0,Southampton
0,3,"Boulos, Mr. Hanna",male,51,0,7.225,Cherbourg
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,12,1,56.9292,Cherbourg
1,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,38,2,27,Southampton
0,3,"Slabenoff, Mr. Petco",male,22,0,7.8958,Southampton
0,1,"Harrington, Mr. Charles H",male,19,0,42.4,Southampton
0,3,"Torber, Mr. Ernst William",male,20.5,0,8.05,Southampton
1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,18,0,26.55,Cherbourg
0,3,"Lindell, Mr. Edvard Bengtsson",male,44,1,15.55,Southampton
0,3,"Karajic, Mr. Milan",male,35,0,7.8958,Southampton
1,1,"Daniel, Mr. Robert Williams",male,29,0,30.5,Southampton
1,2,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,59,1,41.5792,Cherbourg
1,1,"Shutes, Miss. Elizabeth W",female,5,0,153.4625,Southampton
0,3,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,24,1,31.275,Southampton
0,3,"Jardin, Mr. Jose Neto",male,19,0,7.05,Southampton
1,3,"Murphy, Miss. Margaret Jane",female,44,1,15.5,Queenstown
0,3,"Horgan, Mr. John",male,8,0,7.75,Queenstown
0,3,"Brocklebank, Mr. William Alfred",male,19,0,8.05,Southampton
1,2,"Herman, Miss. Alice",female,33,1,65,Southampton
0,3,"Danbom, Mr. Ernst Gilbert",male,33,1,14.4,Southampton
0,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,22,1,16.1,Southampton
1,2,"Becker, Miss. Marion Louise",female,29,2,39,Southampton
0,2,"Gavey, Mr. Lawrence",male,22,0,10.5,Southampton
0,3,"Yasbeck, Mr. Antoni",male,30,1,14.4542,Cherbourg
1,1,"Kimball, Mr. Edwin Nelson Jr",male,44,1,52.5542,Southampton
1,3,"Nakid, Mr. Sahid",male,25,1,15.7417,Cherbourg
0,3,"Hansen, Mr. Henry Damsgaard",male,24,0,7.8542,Southampton
0,3,"Bowen, Mr. David John ""Dai""",male,37,0,16.1,Southampton
0,1,"Sutton, Mr. Frederick",male,54,0,32.3208,Southampton
0,2,"Kirkland, Rev. Charles Leonard",male,54,0,12.35,Queenstown
1,1,"Longley, Miss. Gretchen Fiske",female,29,0,77.9583,Southampton
0,3,"Bostandyeff, Mr. Guentcho",male,62,0,7.8958,Southampton
0,3,"O'Connell, Mr. Patrick D",male,30,0,7.7333,Queenstown
1,1,"Barkworth, Mr. Algernon Henry Wilson",male,41,0,30,Southampton
0,3,"Lundahl, Mr. Johan Svensson",male,29,0,7.0542,Southampton
1,1,"Stahelin-Maeglin, Dr. Max",male,66,0,30.5,Cherbourg
0,1,"Parr, Mr. William Henry Marsh",male,30,0,0,Southampton
0,3,"Skoog, Miss. Mabel",female,9,3,27.9,Southampton
1,2,"Davis, Miss. Mary",female,28,0,13,Southampton
0,3,"Leinonen, Mr. Antti Gustaf",male,32,0,7.925,Southampton
0,2,"Collyer, Mr. Harvey",male,31,1,26.25,Southampton
0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,39.6875,Southampton
0,3,"Thorneycroft, Mr. Percival",male,16,1,16.1,Southampton
0,3,"Jensen, Mr. Hans Peder",male,20,0,7.8542,Southampton
1,1,"Sagesser, Mlle. Emma",female,24,0,69.3,Cherbourg
0,3,"Skoog, Miss. Margit Elizabeth",female,2,3,27.9,Southampton
1,3,"Foo, Mr. Choong",male,34,0,56.4958,Southampton
1,3,"Baclini, Miss. Eugenie",female,1,2,19.2583,Cherbourg
1,1,"Harper, Mr. Henry Sleeper",male,48,1,76.7292,Cherbourg
0,3,"Cor, Mr. Liudevit",male,19,0,7.8958,Southampton
1,1,"Simonius-Blumer, Col. Oberst Alfons",male,56,0,35.5,Cherbourg
0,3,"Willey, Mr. Edward",male,76,0,7.55,Southampton
1,3,"Stanley, Miss. Amy Zillah Elsie",female,23,0,7.55,Southampton
0,3,"Mitkoff, Mr. Mito",male,77,0,7.8958,Southampton
1,2,"Doling, Miss. Elsie",female,18,0,23,Southampton
0,3,"Kalvik, Mr. Johannes Halvorsen",male,21,0,8.4333,Southampton
1,3,"O'Leary, Miss. Hanora ""Norah""",female,44,0,7.8292,Queenstown
0,3,"Hegarty, Miss. Hanora ""Nora""",female,18,0,6.75,Queenstown
0,2,"Hickman, Mr. Leonard Mark",male,24,2,73.5,Southampton
0,3,"Radeff, Mr. Alexander",male,45,0,7.8958,Southampton
0,3,"Bourke, Mrs. John (Catherine)",female,32,1,15.5,Queenstown
0,2,"Eitemiller, Mr. George Floyd",male,23,0,13,Southampton
0,1,"Newell, Mr. Arthur Webster",male,58,0,113.275,Cherbourg
1,1,"Frauenthal, Dr. Henry William",male,50,2,133.65,Southampton
0,3,"Badt, Mr. Mohamed",male,40,0,7.225,Cherbourg
0,1,"Colley, Mr. Edward Pomeroy",male,47,0,25.5875,Southampton
0,3,"Coleff, Mr. Peju",male,36,0,7.4958,Southampton
1,3,"Lindqvist, Mr. Eino William",male,20,1,7.925,Southampton
0,2,"Hickman, Mr. Lewis",male,32,2,73.5,Southampton
0,2,"Butler, Mr. Reginald Fenton",male,25,0,13,Southampton
0,3,"Rommetvedt, Mr. Knud Paust",male,44,0,7.775,Southampton
0,3,"Cook, Mr. Jacob",male,40,0,8.05,Southampton
1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,38,1,52,Southampton
1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40,1,39,Southampton
0,1,"Davidson, Mr. Thornton",male,31,1,52,Southampton
0,2,"Mitchell, Mr. Henry Michael",male,70,0,10.5,Southampton
1,2,"Wilhelms, Mr. Charles",male,31,0,13,Southampton
0,2,"Watson, Mr. Ennis Hastings",male,32,0,0,Southampton
0,3,"Edvardsson, Mr. Gustaf Hjalmar",male,18,0,7.775,Southampton
0,3,"Sawyer, Mr. Frederick Charles",male,24.5,0,8.05,Southampton
1,3,"Turja, Miss. Anna Sofia",female,18,0,9.8417,Southampton
0,3,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,43,1,46.9,Southampton
1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,512.3292,Cherbourg
0,3,"Peters, Miss. Katie",female,31,0,8.1375,Queenstown
1,1,"Hassab, Mr. Hammad",male,27,0,76.7292,Cherbourg
0,3,"Olsvigen, Mr. Thor Anderson",male,20,0,9.225,Southampton
0,3,"Goodwin, Mr. Charles Edward",male,14,5,46.9,Southampton
0,2,"Brown, Mr. Thomas William Solomon",male,60,1,39,Southampton
0,2,"Laroche, Mr. Joseph Philippe Lemercier",male,25,1,41.5792,Cherbourg
0,3,"Panula, Mr. Jaako Arnold",male,14,4,39.6875,Southampton
0,3,"Dakic, Mr. Branko",male,19,0,10.1708,Southampton
0,3,"Fischer, Mr. Eberhard Thelander",male,18,0,7.7958,Southampton
1,1,"Madill, Miss. Georgette Alexandra",female,15,0,211.3375,Southampton
1,1,"Dick, Mr. Albert Adrian",male,31,1,57,Southampton
1,3,"Karun, Miss. Manca",female,4,0,13.4167,Cherbourg
1,3,"Lam, Mr. Ali",male,25,0,56.4958,Southampton
0,3,"Saad, Mr. Khalil",male,14,0,7.225,Cherbourg
0,1,"Weir, Col. John",male,19,0,26.55,Southampton
0,2,"Chapman, Mr. Charles Henry",male,18,0,13.5,Southampton
0,3,"Kelly, Mr. James",male,15,0,8.05,Southampton
1,3,"Mullens, Miss. Katherine ""Katie""",female,31,0,7.7333,Queenstown
0,1,"Thayer, Mr. John Borland",male,4,1,110.8833,Cherbourg
0,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,21,0,7.65,Southampton
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,25,1,227.525,Cherbourg
1,1,"Silverthorne, Mr. Spencer Victor",male,60,0,26.2875,Southampton
0,3,"Barbara, Miss. Saiide",female,52,0,14.4542,Cherbourg
0,3,"Gallagher, Mr. Martin",male,44,0,7.7417,Queenstown
0,3,"Hansen, Mr. Henrik Juul",male,22,1,7.8542,Southampton
0,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,49,0,26,Southampton
1,2,"Kelly, Mrs. Florence ""Fannie""",female,45,0,13.5,Southampton
1,1,"Calderhead, Mr. Edward Pennington",male,42,0,26.2875,Southampton
,1,"Cleaver, Miss. Alice",female,22,0,151.55,Southampton
1,3,"Moubarek, Master. Halim Gonios (""William George"")",male,25,1,15.2458,Cherbourg
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24,0,49.5042,Cherbourg
0,1,"Klaber, Mr. Herman",male,27,0,26.55,Southampton
1,1,"Taylor, Mr. Elmer Zebley",male,48,1,52,Southampton
0,3,"Larsson, Mr. August Viktor",male,29,0,9.4833,Southampton
0,2,"Greenberg, Mr. Samuel",male,52,0,13,Southampton
0,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19,0,7.65,Southampton
1,1,"Endres, Miss. Caroline Louise",female,38,0,227.525,Cherbourg
1,2,"Troutt, Miss. Edwina Celia ""Winnie""",female,27,0,10.5,Southampton
0,3,"McEvoy, Mr. Michael",male,6,0,15.5,Queenstown
0,3,"Johnson, Mr. Malkolm Joackim",male,17,0,7.775,Southampton
1,2,"Harper, Miss. Annie Jessie ""Nina""",female,34,0,33,Southampton
0,3,"Jensen, Mr. Svend Lauritz",male,50,1,7.0542,Southampton
0,2,"Gillespie, Mr. William Henry",male,27,0,13,Southampton
0,2,"Hodges, Mr. Henry Price",male,20,0,13,Southampton
1,1,"Chambers, Mr. Norman Campbell",male,27,1,53.1,Southampton
0,3,"Oreskovic, Mr. Luka",male,20,0,8.6625,Southampton
1,2,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30,3,21,Southampton
1,3,"Mannion, Miss. Margareth",female,19,0,7.7375,Queenstown
